,new_area,change
0,Afghanistan,F5-P3
1,Albania,F1-P2
2,Algeria,F3-P3
3,Argentina,F2-P4
4,Armenia,F2-P3
5,"Victoria, Australia",F5-P3
6,Austria,F1-P4
7,Azerbaijan,F2-P3
8,Bahrain,F2-P4
9,Bangladesh,F2-P3
10,Belarus,F1-P2
11,Belgium,F1-P4
12,Belize,F4-P2
13,Benin,F5-P3
14,Bolivia,F3-P2
15,Bosnia and Herzegovina,F2-P3
16,Botswana,F1-P4
17,Brazil,F2-P4
18,Bulgaria,F1-P3
19,Burma,F1-P2
20,Cambodia,F3-P3
21,Cameroon,F5-P3
22,"Alberta, Canada",F1-P3
23,"British Columbia, Canada",F1-P3
24,"Manitoba, Canada",F4-P3
25,"Ontario, Canada",F1-P4
26,"Quebec, Canada",F1-P3
27,"Saskatchewan, Canada",F1-P3
28,Chile,F2-P4
29,"Hubei, China",F5-P3
30,Colombia,F2-P3
31,Congo (Brazzaville),F5-P3
32,Congo (Kinshasa),F3-P3
33,Costa Rica,F2-P3
34,Cote d'Ivoire,F5-P3
35,Croatia,F1-P3
36,Cuba,F5-P1
37,Cyprus,F1-P3
38,Czechia,F2-P4
39,Denmark,F1-P3
40,Dominican Republic,F1-P4
41,Ecuador,F3-P4
42,Egypt,F5-P3
43,El Salvador,F3-P2
44,Equatorial Guinea,F5-P1
45,Estonia,F1-P4
46,Eswatini,F1-P2
47,Ethiopia,F3-P3
48,Finland,F1-P4
49,"French Polynesia, France",F4-P3
50,"Guadeloupe, France",F3-P4
51,"Martinique, France",F3-P4
52,"Mayotte, France",F1-P2
53,"Reunion, France",F3-P4
54,France,F2-P4
55,Gabon,F5-P1
56,Georgia,F1-P2
57,Germany,F1-P3
58,Ghana,F5-P1
59,Greece,F1-P4
60,Guatemala,F2-P4
61,Honduras,F3-P4
62,Hungary,F1-P3
63,India,F3-P1
64,Indonesia,F2-P2
65,Iran,F1-P3
66,Iraq,F3-P4
67,Ireland,F1-P2
68,Israel,F2-P2
69,Italy,F1-P4
70,Jamaica,F2-P4
71,Japan,F1-P1
72,Jordan,F1-P3
73,Kazakhstan,F2-P4
74,Kenya,F4-P4
75,"Korea, South",F5-P3
76,Kosovo,F1-P4
77,Kuwait,F3-P4
78,Kyrgyzstan,F4-P1
79,Latvia,F1-P4
80,Lebanon,F2-P4
81,Lesotho,F3-P1
82,Libya,F2-P4
83,Lithuania,F1-P4
84,Luxembourg,F2-P4
85,Madagascar,F5-P3
86,Malawi,F5-P1
87,Malaysia,F1-P4
88,Malta,F2-P2
89,Mexico,F1-P4
90,Moldova,F2-P4
91,Mongolia,F1-P1
92,Montenegro,F2-P4
93,Morocco,F4-P2
94,Mozambique,F5-P1
95,Namibia,F1-P2
96,Nepal,F1-P1
97,"Curacao, Netherlands",F2-P3
98,Netherlands,F1-P4
99,Nigeria,F5-P3
100,North Macedonia,F1-P3
101,Norway,F1-P4
102,Oman,F2-P4
103,Pakistan,F1-P3
104,Panama,F2-P2
105,Papua New Guinea,F5-P3
106,Paraguay,F2-P4
107,Peru,F3-P4
108,Philippines,F2-P1
109,Poland,F1-P3
110,Portugal,F2-P2
111,Qatar,F3-P4
112,Romania,F2-P3
113,Russia,F1-P3
114,Rwanda,F5-P1
115,Saudi Arabia,F4-P3
116,Serbia,F1-P4
117,Singapore,F4-P3
118,Slovakia,F1-P4
119,Slovenia,F1-P4
120,South Africa,F1-P2
121,Spain,F2-P2
122,Sri Lanka,F1-P2
123,Sudan,F5-P3
124,Sweden,F1-P4
125,Switzerland,F1-P3
126,Thailand,F5-P3
127,Tunisia,F2-P2
128,Turkey,F1-P3
129,US,F2-P4
130,Uganda,F5-P3
131,Ukraine,F1-P3
132,United Arab Emirates,F2-P4
133,United Kingdom,F2-P2
134,Uruguay,F1-P4
135,Uzbekistan,F1-P3
136,Venezuela,F2-P1
137,West Bank and Gaza,F2-P3
138,Zambia,F5-P1
139,Zimbabwe,F5-P1
