,shifts,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
0,shift 1,0,0,0,0,0
1,shift 2,0,0,0,0,0
2,shift 3,0,0,0,0,0
3,shift 4,0,0,0,0,0
4,shift 5,0,0,0,0,0
5,shift 6,5,0,0,0,0
6,shift 7,5,5,0,0,0
7,shift 8,5,5,0,0,0
8,shift 9,5,5,0,0,0
9,shift 10,0,5,0,0,0
10,shift 11,0,5,0,0,0
11,shift 12,5,5,0,0,0
12,shift 13,5,5,8,5,0
13,shift 14,5,5,8,5,0
14,shift 15,5,8,8,7,0
15,shift 16,5,8,8,5,0
16,shift 17,5,8,8,5,0
17,shift 18,5,8,8,5,0
18,shift 19,5,8,8,5,0
19,shift 20,5,8,8,5,0
20,shift 21,8,8,8,8,0
21,shift 22,8,8,8,8,0
22,shift 23,8,8,8,8,0
23,shift 24,8,8,5,8,0
24,shift 25,8,8,5,8,0
25,shift 26,8,8,5,0,5
26,shift 27,8,8,5,5,5
27,shift 28,8,8,5,5,5
28,shift 29,8,8,5,5,5
29,shift 30,8,8,8,5,5
30,shift 31,8,8,8,5,5
31,shift 32,8,-1,8,5,-1
32,shift 33,-1,-1,-1,-1,-1
33,shift 34,-1,-1,-1,-1,-1
34,shift 35,-1,-1,-1,-1,-1
35,shift 36,-1,-1,-1,-1,-1
