,value,shift 1,shift 2,shift 3,shift 4,shift 5,shift 6,shift 7,shift 8,shift 9,shift 10,shift 11,shift 12,shift 13,shift 14,shift 15,shift 16,shift 17,shift 18,shift 19,shift 20,shift 21,shift 22,shift 23,shift 24,shift 25,shift 26,shift 27,shift 28,shift 29,shift 30,shift 31,shift 32,shift 33,shift 34,shift 35,shift 36
0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,18,22,23,24
1,0,24,23,23,22,21,22,21,20,18,18,17,15,11,12,13,16,14,17,20,22,20,18,19,15,11,9,7,8,8,7,10,3,1,1,0,0
2,1,0,1,0,1,1,0,2,2,2,0,1,2,5,0,2,0,4,0,1,0,3,3,1,5,4,4,3,1,3,2,0,0,0,0,0,0
3,2,0,0,0,0,1,1,1,0,0,0,0,1,1,3,3,2,3,4,2,1,1,2,1,0,2,1,2,3,1,3,0,1,2,0,0,0
4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
6,5,0,0,1,1,1,1,0,2,4,6,6,5,6,9,6,4,1,2,1,1,0,1,3,4,7,9,10,10,9,9,10,6,2,1,1,0
7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,1,0,0,0
