,area,shift 1,shift 2,shift 3,shift 4,shift 5,shift 6,shift 7,shift 8,shift 9,shift 10,shift 11,shift 12,shift 13,shift 14,shift 15,shift 16,shift 17,shift 18,shift 19,shift 20,shift 21,shift 22,shift 23,shift 24,shift 25,shift 26,shift 27,shift 28,shift 29,shift 30,shift 31,shift 32,shift 33,shift 34,shift 35,shift 36,labels
0,Afghanistan,0,0,0,0,0,0,0,1,5,5,5,5,2,0,0,0,0,0,0,0,0,1,2,1,2,1,2,0,0,0,0,0,-1,-1,-1,-1,4
1,Albania,0,0,0,0,0,1,5,5,2,0,1,5,5,5,5,5,5,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,0
2,Algeria,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,2,0,1,5,5,5,5,5,5,5,5,2,0,0,0,-1,-1,-1,-1,2
3,Argentina,0,0,0,0,0,0,0,0,1,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,1
4,Armenia,0,0,0,0,1,5,5,5,7,8,8,8,8,8,8,4,5,7,8,8,8,8,8,8,8,8,8,4,5,7,8,8,8,-1,-1,-1,1
5,Australia - Victoria,0,0,0,0,1,5,2,0,0,0,0,0,1,5,5,7,8,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,4
6,Austria,0,0,0,0,1,7,4,5,5,5,2,0,0,1,5,5,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,0
7,Azerbaijan,0,0,0,0,0,1,5,2,1,5,5,5,5,5,5,5,5,5,5,5,7,8,8,8,8,8,4,5,5,5,5,7,8,-1,-1,-1,1
8,Bahrain,0,0,0,1,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,1
9,Bangladesh,0,0,0,0,0,0,0,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,0,0,0,1,5,-1,-1,-1,-1,-1,1
10,Belarus,0,0,0,0,0,1,5,7,8,8,8,8,4,5,5,5,5,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,0
11,Belgium,0,0,0,0,1,7,8,8,4,5,5,5,5,5,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,0
12,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,8,8,8,8,8,8,8,8,8,8,4,5,5,5,5,-1,-1,-1,-1,-1,3
13,Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,-1,-1,-1,-1,-1,4
14,Bolivia,0,0,0,0,0,0,0,1,5,5,5,7,8,8,8,8,8,8,4,5,5,5,5,5,5,7,8,8,8,8,8,8,-1,-1,-1,-1,2
15,Bosnia and Herzegovina,0,0,0,0,1,5,5,5,5,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,-1,1
16,Botswana,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,5,5,7,4,5,7,4,7,4,5,7,8,8,8,8,8,8,-1,-1,0
17,Brazil,0,0,0,0,0,1,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,-1,1
18,Bulgaria,0,0,0,0,0,0,1,5,5,2,0,1,5,5,5,5,5,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,0
19,Burma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,7,8,4,7,8,8,4,5,5,5,2,0,0,0,-1,-1,-1,0
20,Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,2
21,Cameroon,0,0,0,0,0,0,0,0,1,5,5,2,1,5,2,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,-1,-1,-1,-1,4
22,Canada - Alberta,0,0,0,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,-1,0
23,Canada - British Columbia,0,0,0,0,1,5,5,5,2,0,0,0,0,1,5,5,5,5,5,5,7,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,0
24,Canada - Manitoba,0,0,0,0,0,1,5,2,0,0,0,0,0,0,0,1,5,5,5,5,7,8,8,8,8,8,8,8,8,4,5,7,4,7,-1,-1,3
25,Canada - Ontario,0,0,0,0,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,0
26,Canada - Quebec,0,0,0,0,1,7,8,8,8,8,4,5,5,5,5,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,0
27,Canada - Saskatchewan,0,0,0,0,1,5,2,1,5,2,0,1,2,1,5,5,5,2,1,5,5,5,7,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,0
28,Chile,0,0,0,0,1,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,-1,1
29,China - Hubei,0,1,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,4
30,Colombia,0,0,0,0,0,0,0,1,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,-1,1
31,Congo (Brazzaville),0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,2,1,5,2,0,0,0,0,0,1,5,2,1,2,1,5,5,2,-1,-1,-1,4
32,Congo (Kinshasa),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,2
33,Costa Rica,0,0,0,0,0,0,0,0,0,1,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,1
34,Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,1,5,5,5,2,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,-1,-1,-1,-1,-1,4
35,Croatia,0,0,0,0,1,5,5,2,0,0,0,1,5,5,5,5,7,8,4,5,7,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,0
36,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,1,5,5,5,5,7,8,8,8,8,-1,-1,-1,4
37,Cyprus,0,0,0,0,1,5,5,5,2,0,0,0,0,0,1,5,5,2,1,5,5,7,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,0
38,Czechia,0,0,0,0,1,5,5,5,5,5,5,5,5,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,1
